,post,label
62,aiim new delhi webinar nur train care covid patient rd april pm specif issu care pregnant post natal women covid ms levi murri specif issu care children covid ms cecilia psycholog care patient covid dr sandhya gupta legal aspect relat covid relat nur respon dr surbala devi care health team,0
63,worth watch,0
64,covid caught person who symptom main way disea spread respiratori droplet expel someon who cough risk catch covid someon symptom low mani peopl covid experi mild symptom particular true ear stage disea therefor possibl catch covid someon who exampl mild cough feel ill https www mohfw gov dr arun k,0
65,when entir world struggl case jharkhand speak volum cultur jharkhand,0
66,peopl take long walk home,0
67,need maintain social distanc measur,0
68,jharkhand governor need get peopl who stuck differ state,0
69,extend lockdown sight everyon flock market got essenti suppli,0
70,vedanta distribut face mask villag,0
71,shg women first line defen fight corona,0
72,ranchi remain vigil even posit case jharkhand,0
73,school colleg remain open corona case jharkhand,0
74,jharkhand mla put quarantin came us,0
75,cm plead public stay home,0
76,recov patient sent home ambul,0
77,peopl come state thorough check,0
78,villag build quarantin facil,0
79,jharkhand ke school colleg open now,0
80,rim ranchi adisol ward bed quarantin facil,0
81,shg women first line defen fight corona,0
82,home ministri order seal jharkhand border,0
83,rajendra institut medic scienc rim ranchi plan develop isol ward corona patient still singl thermal scanner doctor forc touch bodi check fever,0
84,villag build quarantin center,0
85,jharkhand lack essenti suppli say jharkhand chief secretari,0
86,measur check price rise patna imper,0
87,light hous door balconi stand candl minut lamp flashlight mobil flashlight burn pm narendramodi indiafightscorona,0
88,plea keep distanc market kolkata polic behalf distanc market store keep custom suraksarekha launch identifi process request compli coronavirus kolkatapol mamataoffici https co wxnacsylyp,0
89,coronavirusupd ministri home affair clarifi queri specif servic which exempt lockdown restrict relev notif attach via pibhomeaffair covid pandem coronavirusoutbreak stayhomesavel https co c samlxiyb,0
90,join us fight novel corona pandem support needi vulner plea inform local polic station come anyon without food stayhomestaysaf https co kirkland,0
91,sail dsp sanit ashish market chandida market area township harkaamdeshknaam ispatiirada coronastopkarona indiafightscorona stayathom stayhomesavel stayhomestaysaf narendramodi dpradhanbjp fskulast steelminindia sailsteel https co vj jxmft,0
92,sail dsp distribut food tribal villag ragunatpur parulia baganpara einstein slum area harkaamdeshknaam ispatiirada coronastopkarona indiafightscorona stayathom stayhomestaysaf narendramodi dpradhanbjp fskulast steelminindia sailsteel https co z dmqvpk w,0
93,sail dsp sanit ispat bhawan wtp arjunpur ph nagarjun stp dstv machin use plant harkaamdeshknaam ispatiirada coronastopkarona indiafightscorona stayathom stayhomestaysaf narendramodi dpradhanbjp fskulast steelminindia sailsteel https co qrb kahi,0
94,clean sanit lpg cylind done bharat petroleum durgapur lpg plant deliveri ensur safeti esteem bharatga consum bpclimit peethambarantt jsm mopng akbpcl anupv bpcldurgapur akbpcl stayhomestaysaf stayhomestaysaf https co qw zoxbzv,0
95,retail outlet rayan villag durgapur comco bengaluru ensur fight battl covid hunger provid food essenti item need coronastopkarona hpclcare https co le aaog,0
96,sail durgapur steel plant distribut essenti food packet section poor vulner peopl surround societi continu provid food packet till crisi sail https co xesmczfsa,0
97,sail dsp continu fight corona sanit spray bleach powder new hand wash facil given sever place sanit done various ward opd offic dsp hospit,0
98,dr b c roy engin colleg help medic unit mission hospit durgapur taken step forward keep india corona free bcrec covid https co xdl iko,0
99,catch covid fece someon disea risk catch covid fece infect person appear low initi investig suggest virus present fece case spread rout main featur outbreak ongo research way covid spread continu share new find risk anoth reason clean hand regular use bathroom eat https www mohfw gov in,0
100,corona virus spread contact hand wash import explain simpl hindi conver mode,0
101,old age disbur beneficiari widow divyanga kushtavstha pension https co xd v qpt,0
102,offic staff social welfar deptt atangin cm relief fund ah rs lai mai covid hrileng nan kan dawng pathian ram tana inpekna hi let tam takin malsawm che u rawh se mizo mipuiten chungah lawmthu kan sawi mawlh mawlh e mizoram thankyou https co sozc jypc,0
103,fast medit ritual inspir hold virtu sacrif abstin truth let us speed campaign note social distanc follow lockdown view religi ritual corona virus corona virus ninth date navratri today,0
104,ayush ministri guidelin better health immun measur easili made mani thing year year drink water share part live well https tiksio szf uogngw,0
105,view covid account million worker hold outright transfer fund million https co oceihoxfcm,0
106,explain hindi what happen when assembl group lock down,0
107,role social distanc prevent corona,0
108,virus caus covid transmit air studi date suggest virus caus covid main transmit contact respiratori droplet rather air see previous answer how covid spread sourc https www mohfw gov discuss what differ droplet transmiss airborn when speak cough sneez saliva come form spray go upto distanc metr infect organ saliva,0
109,virus caus covid transmit air studi date suggest virus caus covid main transmit contact respiratori droplet rather air see previous answer how covid spread sourc https www mohfw gov discuss what differ droplet transmiss airborn when speak cough sneez saliva come form spray go upto distanc metr infect organ saliva,0
110,catch covid fece someon disea risk catch covid fece infect person appear low initi investig suggest virus present fece case spread rout main featur outbreak ongo research way covid spread continu share new find risk anoth reason clean hand regular use bathroom eat https www mohfw gov dr arun k,0
111,prime minist narendra modi gandhinagar join minist senior offici includ guid video confer chief minist state current situat prepar corona virus which vijaybhai rupani chief deputi chief minist nitin patel https co llpicb hke,0
112,indiafight covid mha write state ensur except allow lockdown measur w farm oper communic field agenc smooth harvest sow oper maintain social distanc need ensur https co otnw k fsn,1
113,video demonstra simpl hindi how corona spread dont stay home practic social distanc,0
114,situat updat isol bed screen done rd april border screen entri point rail road sampl sent test posit case negat case result await person quarantin cumul person complet quarantin border screen entri point total phone call receiv helplin updat pm,0
115,friend come forward request administr doctor selfless servic fight corona help got unnecessari home specif want appeal muslim brother cooper step togeth crisi neighborhood coloni citi state countri but save world jai hind friend,0
116,stay home stay safe,0
117,test text review,0
118,karnataka lockdown,0
119,peopl use social distanc corona virus spread complain govern take action seal dr clinic,0
120,pictur taken at,0
121,krishndev rajput,0
122,pvt receiv lunderi mumbai job kart receiv hu delet manag work peopl lock sir work us,0
123,distilleri turn sanit unit amid corona lockdown,0
124,food suppli come shutdown,0
125,yuval niah harari current event,0
126,good experi good measur awar logo,0
127,who bihar,0
128,air answer children death disea,0
129,explain corona virus children simpl comic book pgi made doctor chandigarh everi languag,0
130,miss domino day offic,0
131,feel depress alon where lockdown call helplin where someon talk help you,0
132,mukeshsah,0
133,ranchi vigil even singl case,0
134,west bengal govern leav stone unturn ensur safeti precau citizen combat covid effici critic junctur collect effort public cooper which help fight menac,0
135,social distanc need hour,0
136,unit blood donat today total unit blood collect till blood donat policemen wbp continu unit blood donat far total unit blood collect blood donat program continu polic https co ws gvu rsr,0
137,health depart allot rs lakh purcha medic equip,0
138,money delhi eat drink,0
139,covid test laboratori start zoram medic colleg,0
140,import inform registr worker unregist worker regist use inform went indiafightscorona coronaupdatesindia https tiksio fpfdvrfdts,0
141,fight battl surviv kid home fight battl isol misinform anxieti let us forget littl hero amongst coronavirus pandem provid full support kid guid correct inform https co xgj nnhfrx,0
142,talktom friend queri relat protect prevent measur covid protectyourself qurantin isol contain donotpan write platform happi respond stay safe,0
143,talktom friend queri relat protect prevent measur covid protectyourself qurantin isol contain donotpan write platform happi respond stay safe,0
144,talktom friend queri relat protect prevent measur covid protectyourself qurantin isol contain donotpan write platform happi respond stay safe,0
145,peopl place home quarantin nagaland,0
146,phase relax lockdown contain covid state kerala,0
147,satyamev jayt,0
148,https www merainternetgyan blog post htmlm,0
149,compass eat way virus dilshad garden market childhood school block number hous,0
150,educ educ,0
151,tag feet run prsthite bad noida sector,0
152,donotpan friend rumour ncorona transmit pet biolog transmiss report wash hand touch pet someon whose infect status known especi outsid famili touch pet stay safe,0
153,donotpan friend rumour ncorona transmit pet biolog transmiss report wash hand touch pet someon whose infect status known especi outsid famili touch pet stay safe,0
154,https www facebook com post n,0
155,lockdown should increa,0
156,word get help appli bihar season worker villag,0
157,ficci launch e learn hcws covid cour content avail https healthedu co cour train hcws covid cour medvar platfom technic collabor iapsm,0
158,type applic ration coupon ration needi delhi click link phone mobil number otp fill fill jankariya ask submit kkadhar card photo e coupon store keep handl given ration call school day sent peopl help jrurtmndon,0
159,the,0
160,giridih,0
161,mapco vedica comput friend sit home access data differ sourc posit case suspect district creat digit map local area share local communiti,1
162,mapco vedica comput friend sit home access data differ sourc posit case suspect district creat digit map local area share local communiti,1
163,how look sir,0
164,lesson kerala mizoram go aggress test,0
165,how make mask home,1
166,bread find food nearbi peopl bechen tell,0
167,bihar corona,0
168,plea stay home keep safe,0
169,stay home,0
170,horror happen fever,0
171,jagdalpur town umbil work nandk steel plant,0
172,pms address nation,0
173,press brief goi,0
174,helplin balaoda market,0
175,live fit class student lockdown,1
176,yoga stress manag,0
177,video pe,0
178,covid updat,0
179,product covid,0
180,press brief,0
181,beauti song written talent sumedha mam,0
182,awar video covid,0
183,dal bhat centdra dumka,0
184,treatment covid dumka,0
185,insur scheme health worker fight covid,0
186,video pe,0
187,health warrior crown,0
188,servic baloda market district,0
189,daili covid bulletin,0
190,pib press relea,0
191,pib press relea railway,0
192,highbrow press confer updat current status of,0
193,communiti respon covid india,0
194,chhatisgarh start ear fight control covid,0
195,initi start corona test lab bilaspur,0
196,india plea get corona victori know indian home jhann,0
197,helplin balaoda market district,0
198,khanknhinkmillerhkhkpaskkkdiktkha,0
199,how take care mental health lockdown,0
200,heme presani rasen pai aspen respect saad rasen that,0
201,amid lockdown bjp mps drove delhi ranchi,0
202,kase lunch,0
203,flight cancel till rd may,0
204,jharkhand divid zone per infect rate,0
205,pay tax till st juli ranchi,0
206,cm appeal restor calm,0
207,busi men worri too,0
208,amid crisi municip corpor readi combat water shortag,0
209,how account,0
210,plan made suppli oxygen,0
211,make home made reusabl face cover,0
212,address social stigma covid,0
213,mask shield,0
214,techniqu stay calm lockdown,0
215,internet fascil good,0
216,daili updat covid,0
217,tool covid diagnosi,0
218,disast respon forc launch helplin,0
219,center set helplin address complaint healthcar worker,0
220,center say state cannot dilut lockdown restrict,0
221,groom issu guidelin ultim switch,0
222,trend coronavirus case india,0
223,what open non covid hotspot april,0
224,how drone help india fight covid,0
225,plea dont discrimin corona warrior,0
226,news coronavirus india updat live case death maha talli cross mark,0
227,fake news might land jail,0
228,feel good mental work out,0
229,check govt websit covid,0
230,medit stress manag,0
231,stay calm lockdown,0
232,webinar seri start tourism depart govern india lockdown highlight diver cultur india,0
233,peopl break quarantin even lockdown,0
234,strap immin water crisi,0
235,school open to,0
236,sell liquor thrice price,0
237,govt make protect gear,0
238,jharkhand safe,0
239,know how use home made face cover,1
240,how safe quit tobacco lockdown,0
241,pib press relea covid,0
242,higher risk must stay home,0
243,advisori person news n mask,0
244,indian test posit covid say icmr,0
245,govern lay altern studi plan class to,0
246,india learnt quick deal covid,0
247,how india young ia offic ensur smooth lockdown everi corner countri,0
248,see which zone district fall under,0
249,govt tell state inform public use hcq azithromycin without prescript,0
250,yoga stress manag,0
251,let learn covid anti covid pathshala,0
252,covid tracker,0
253,india test rate low say icmr,0
254,get full refund flight ticket lockdown,0
255,listen amitabh bachchan,0
256,data show india covid curv flatten print,1
257,panchayat district chief sister kitchen center total needi strand friday destitut divyanga sick work class peopl given lunch jhrkndcno prdjrknd jharkhand https tiksio wshpechdglda,0
258,sadar block pakur co inspect oper public distribut system outlet shiwatlla villag check stock regist rate chart determin depart amount food present beneficiari spot even ask refer jhrkndcno jharkhand https tiksio aprbkwsltp,0
259,jharkhand surplus milk popul,0
260,amdhapadha co inspect checkpost made govindpur phadhpur gram deput magistr polic offic direct get strict compli complianc social distanc lock jhrkndcno jrkndl l prdjharkhand https tiksio cp ssriibdhn,0
261,deni,0
262,food occupi pakur nomad famili nomad rajasthan packet distribut live ward np kg rice kg lentil kg potato well soap provid jhrkndcno jrkndl l prdjharkhand https tiksio ck lalbtwla,0
263,work what first trigger,1
264,offer offer offer rnfi hrielipi icici bank retail ed rs distribut name madhav netam contact us rnfi reli pay custom care center which run pc android phone aep icici aep advantag rnfi relipay servic money withdraw money transfer bank balanc czech bank user id password which run individu csp rnfi,0
265,avoid infect kovid citi council differ local public various govern offic build citi regular urban area carri sanit campaign jhrkndcno jrkndl l prdjharkhand https tiksio c sbox pz,0
266,saga lockdown,0
267,make mask,0
268,bengaluru lab develop easi make reusabl power mask,0
269,light hous door balconi stand candl minut lamp flashlight mobil flashlight burn pm narendramodi,0
270,video covid awar communiti level worker,0
271,k,0
272,way make sure stay safe covid lockdown,0
273,offer offer offer rnfi hrielipi icici bank distributor edi free retail ed rs distribut name madhav netam contact us rnfi reli pay custom care center which run pc android phone aep icici aep advantag rnfi relipay servic money withdraw money transfer bank balanc czech bank user id password which run,0
274,social distanc prevent corona,0
275,india win corona lose,0
276,itbp begin distribut ppes mask frontlin agenc,0
277,follow link join whatsapp group https chat whatsapp com bl fkfjid j l aek xt,0
278,rate spread covid reduc lockdown,0
279,factori set open area,0
280,logo recent fine,0
281,panchayat district chief sister kitchen center total needi strand monday destitut divyanga sick work class peopl given lunch jhrkndcno prdjrknd jharkhand https tiksio uhchanfj fcg,0
282,india young peopl corona warrior,0
283,watch full episod honbl mps jayant sinha priyanka manish tewari discuss ensur public servic deliveri migrant women children covid cnnnew associ unicefindia swaniti,0
284,let fight corona virus,0
285,inform general public use medicin covid,0
286,yoga stress manag,0
287,ranchi highest chase peopl still follow guidelin,0
288,manag mental stress corona,0
289,excel initi mizoram follow social distanc,1
290,jharkhand need learn lesson bhopal,0
291,fine school,0
292,pm modi share thought linkedin,0
293,excel exampl social distanc market mizoram,1
294,call research consortium covid,0
295,peopl delhi see anyon suffer hunger near guid nearest hunger relief center find next tab app,0
296,stori book relea help children cope covid,0
297,post test,0
298,anyon know electrician malviyanagar area,1
299,test news link,0
300,muskurayega india,0
301,cchhotusharma gmail com,0
302,press itself,0
303,jagdish coplet prevent corona good stock must kijiyega inferior,0
304,im live jharkhand indoor fihl fsha jharkhand govern launch app work pljhghjh let focus ok sir,0
305,fresh water line leak drink water flow delhi jal board delhi govern,0
306,who go out,0
307,sorti sharma,0
308,latest news,0
309,would like know covid care center dedic covid health center dedic covid hospit ranchi kind repli question regard,0
